MODEL	QUERY	N	SCORE
MultipartitieRank	3	1	0.0
MultipartitieRank	3	10	0.25
MultipartitieRank	3	100	0.375
MultipartitieRank	3	1000	0.625
MultipartitieRank	3	10000	1.0
MultipartitieRank	1	1	0.0
MultipartitieRank	1	10	0.05263157894736842
MultipartitieRank	1	100	0.05263157894736842
MultipartitieRank	1	1000	0.21052631578947367
MultipartitieRank	1	10000	0.631578947368421
MultipartitieRank	2	1	0.0
MultipartitieRank	2	10	0.2
MultipartitieRank	2	100	0.4
MultipartitieRank	2	1000	0.5
MultipartitieRank	2	10000	0.7
MultipartitieRank	4	1	0.0
MultipartitieRank	4	10	0.25
MultipartitieRank	4	100	0.375
MultipartitieRank	4	1000	0.875
MultipartitieRank	4	10000	0.875
MultipartitieRank	5	1	0.0
MultipartitieRank	5	10	0.019230769230769232
MultipartitieRank	5	100	0.1346153846153846
MultipartitieRank	5	1000	0.34615384615384615
MultipartitieRank	5	10000	0.8076923076923077
PositionRank	3	1	0.0
PositionRank	3	10	0.0
PositionRank	3	100	0.25
PositionRank	3	1000	0.25
PositionRank	3	10000	0.625
PositionRank	1	1	0.0
PositionRank	1	10	0.05263157894736842
PositionRank	1	100	0.05263157894736842
PositionRank	1	1000	0.3157894736842105
PositionRank	1	10000	0.7368421052631579
PositionRank	2	1	0.0
PositionRank	2	10	0.4
PositionRank	2	100	0.6
PositionRank	2	1000	0.7
PositionRank	2	10000	0.9
PositionRank	4	1	0.0
PositionRank	4	10	0.25
PositionRank	4	100	0.625
PositionRank	4	1000	1.0
PositionRank	4	10000	1.0
PositionRank	5	1	0.0
PositionRank	5	10	0.019230769230769232
PositionRank	5	100	0.07692307692307693
PositionRank	5	1000	0.34615384615384615
PositionRank	5	10000	0.8269230769230769
SingleRank	3	1	0.0
SingleRank	3	10	0.125
SingleRank	3	100	0.25
SingleRank	3	1000	0.375
SingleRank	3	10000	1.0
SingleRank	1	1	0.0
SingleRank	1	10	0.0
SingleRank	1	100	0.10526315789473684
SingleRank	1	1000	0.3684210526315789
SingleRank	1	10000	0.7368421052631579
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.2
SingleRank	2	1000	0.8
SingleRank	2	10000	0.9
SingleRank	4	1	0.0
SingleRank	4	10	0.25
SingleRank	4	100	0.375
SingleRank	4	1000	0.875
SingleRank	4	10000	0.875
SingleRank	5	1	0.0
SingleRank	5	10	0.038461538461538464
SingleRank	5	100	0.07692307692307693
SingleRank	5	1000	0.4807692307692308
SingleRank	5	10000	0.8461538461538461
TFIDF	3	1	0.0
TFIDF	3	10	0.0
TFIDF	3	100	0.25
TFIDF	3	1000	0.375
TFIDF	3	10000	0.875
TFIDF	1	1	0.0
TFIDF	1	10	0.05263157894736842
TFIDF	1	100	0.05263157894736842
TFIDF	1	1000	0.21052631578947367
TFIDF	1	10000	0.7368421052631579
TFIDF	2	1	0.0
TFIDF	2	10	0.2
TFIDF	2	100	0.4
TFIDF	2	1000	0.6
TFIDF	2	10000	0.6
TFIDF	4	1	0.0
TFIDF	4	10	0.125
TFIDF	4	100	0.75
TFIDF	4	1000	0.875
TFIDF	4	10000	0.875
TFIDF	5	1	0.0
TFIDF	5	10	0.019230769230769232
TFIDF	5	100	0.07692307692307693
TFIDF	5	1000	0.36538461538461536
TFIDF	5	10000	0.8653846153846154
TextRank	3	1	0.0
TextRank	3	10	0.25
TextRank	3	100	0.375
TextRank	3	1000	0.375
TextRank	3	10000	0.75
TextRank	1	1	0.0
TextRank	1	10	0.05263157894736842
TextRank	1	100	0.10526315789473684
TextRank	1	1000	0.3684210526315789
TextRank	1	10000	0.7368421052631579
TextRank	2	1	0.0
TextRank	2	10	0.1
TextRank	2	100	0.3
TextRank	2	1000	0.8
TextRank	2	10000	0.9
TextRank	4	1	0.0
TextRank	4	10	0.25
TextRank	4	100	0.875
TextRank	4	1000	0.875
TextRank	4	10000	0.875
TextRank	5	1	0.0
TextRank	5	10	0.019230769230769232
TextRank	5	100	0.15384615384615385
TextRank	5	1000	0.4230769230769231
TextRank	5	10000	0.8461538461538461
TopicalRank	3	1	0.0
TopicalRank	3	10	0.0
TopicalRank	3	100	0.25
TopicalRank	3	1000	0.75
TopicalRank	3	10000	1.0
TopicalRank	1	1	0.0
TopicalRank	1	10	0.0
TopicalRank	1	100	0.10526315789473684
TopicalRank	1	1000	0.3684210526315789
TopicalRank	1	10000	0.6842105263157895
TopicalRank	2	1	0.0
TopicalRank	2	10	0.0
TopicalRank	2	100	0.3
TopicalRank	2	1000	0.8
TopicalRank	2	10000	0.9
TopicalRank	4	1	0.0
TopicalRank	4	10	0.375
TopicalRank	4	100	0.375
TopicalRank	4	1000	0.875
TopicalRank	4	10000	0.875
TopicalRank	5	1	0.019230769230769232
TopicalRank	5	10	0.038461538461538464
TopicalRank	5	100	0.11538461538461539
TopicalRank	5	1000	0.36538461538461536
TopicalRank	5	10000	0.8269230769230769
YAKE	3	1	0.0
YAKE	3	10	0.125
YAKE	3	100	0.375
YAKE	3	1000	0.75
YAKE	3	10000	1.0
YAKE	1	1	0.0
YAKE	1	10	0.0
YAKE	1	100	0.05263157894736842
YAKE	1	1000	0.21052631578947367
YAKE	1	10000	0.631578947368421
YAKE	2	1	0.0
YAKE	2	10	0.1
YAKE	2	100	0.2
YAKE	2	1000	0.6
YAKE	2	10000	0.9
YAKE	4	1	0.0
YAKE	4	10	0.125
YAKE	4	100	0.625
YAKE	4	1000	0.875
YAKE	4	10000	0.875
YAKE	5	1	0.0
YAKE	5	10	0.019230769230769232
YAKE	5	100	0.19230769230769232
YAKE	5	1000	0.4423076923076923
YAKE	5	10000	0.8653846153846154
KPMINER	3	1	0.0
KPMINER	3	10	0.0
KPMINER	3	100	0.375
KPMINER	3	1000	0.5
KPMINER	3	10000	0.75
KPMINER	1	1	0.0
KPMINER	1	10	0.05263157894736842
KPMINER	1	100	0.05263157894736842
KPMINER	1	1000	0.3684210526315789
KPMINER	1	10000	0.7894736842105263
KPMINER	2	1	0.0
KPMINER	2	10	0.1
KPMINER	2	100	0.3
KPMINER	2	1000	0.4
KPMINER	2	10000	0.5
KPMINER	4	1	0.0
KPMINER	4	10	0.25
KPMINER	4	100	0.75
KPMINER	4	1000	0.875
KPMINER	4	10000	0.875
KPMINER	5	1	0.0
KPMINER	5	10	0.038461538461538464
KPMINER	5	100	0.09615384615384616
KPMINER	5	1000	0.3269230769230769
KPMINER	5	10000	0.75
TopicRankResults	3	1	0.0
TopicRankResults	3	10	0.375
TopicRankResults	3	100	0.375
TopicRankResults	3	1000	0.75
TopicRankResults	3	10000	1.0
TopicRankResults	1	1	0.0
TopicRankResults	1	10	0.05263157894736842
TopicRankResults	1	100	0.10526315789473684
TopicRankResults	1	1000	0.2631578947368421
TopicRankResults	1	10000	0.5789473684210527
TopicRankResults	2	1	0.0
TopicRankResults	2	10	0.3
TopicRankResults	2	100	0.5
TopicRankResults	2	1000	0.5
TopicRankResults	2	10000	0.7
TopicRankResults	4	1	0.0
TopicRankResults	4	10	0.125
TopicRankResults	4	100	0.625
TopicRankResults	4	1000	0.875
TopicRankResults	4	10000	0.875
TopicRankResults	5	1	0.0
TopicRankResults	5	10	0.019230769230769232
TopicRankResults	5	100	0.1346153846153846
TopicRankResults	5	1000	0.28846153846153844
TopicRankResults	5	10000	0.7692307692307693
