MODEL	QUERY	N	SCORE
MultipartitieRank	3	1	0.0
MultipartitieRank	3	10	0.0
MultipartitieRank	3	100	0.125
MultipartitieRank	3	1000	0.125
MultipartitieRank	3	10000	0.5
MultipartitieRank	1	1	0.0
MultipartitieRank	1	10	0.0
MultipartitieRank	1	100	0.05263157894736842
MultipartitieRank	1	1000	0.21052631578947367
MultipartitieRank	1	10000	0.5263157894736842
MultipartitieRank	2	1	0.0
MultipartitieRank	2	10	0.0
MultipartitieRank	2	100	0.0
MultipartitieRank	2	1000	0.1
MultipartitieRank	2	10000	0.6
MultipartitieRank	4	1	0.0
MultipartitieRank	4	10	0.0
MultipartitieRank	4	100	0.0
MultipartitieRank	4	1000	0.0
MultipartitieRank	4	10000	0.0
MultipartitieRank	5	1	0.0
MultipartitieRank	5	10	0.0
MultipartitieRank	5	100	0.0
MultipartitieRank	5	1000	0.038461538461538464
MultipartitieRank	5	10000	0.36538461538461536
PositionRank	3	1	0.0
PositionRank	3	10	0.0
PositionRank	3	100	0.0
PositionRank	3	1000	0.0
PositionRank	3	10000	0.125
PositionRank	1	1	0.0
PositionRank	1	10	0.0
PositionRank	1	100	0.05263157894736842
PositionRank	1	1000	0.10526315789473684
PositionRank	1	10000	0.2631578947368421
PositionRank	2	1	0.0
PositionRank	2	10	0.0
PositionRank	2	100	0.0
PositionRank	2	1000	0.0
PositionRank	2	10000	0.3
PositionRank	4	1	0.0
PositionRank	4	10	0.0
PositionRank	4	100	0.0
PositionRank	4	1000	0.0
PositionRank	4	10000	0.0
PositionRank	5	1	0.0
PositionRank	5	10	0.0
PositionRank	5	100	0.0
PositionRank	5	1000	0.09615384615384616
PositionRank	5	10000	0.3076923076923077
SingleRank	3	1	0.0
SingleRank	3	10	0.0
SingleRank	3	100	0.0
SingleRank	3	1000	0.0
SingleRank	3	10000	0.5
SingleRank	1	1	0.0
SingleRank	1	10	0.05263157894736842
SingleRank	1	100	0.15789473684210525
SingleRank	1	1000	0.21052631578947367
SingleRank	1	10000	0.3684210526315789
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.0
SingleRank	2	1000	0.5
SingleRank	2	10000	0.8
SingleRank	4	1	0.0
SingleRank	4	10	0.0
SingleRank	4	100	0.0
SingleRank	4	1000	0.0
SingleRank	4	10000	0.0
SingleRank	5	1	0.0
SingleRank	5	10	0.0
SingleRank	5	100	0.0
SingleRank	5	1000	0.057692307692307696
SingleRank	5	10000	0.36538461538461536
TFIDF	3	1	0.0
TFIDF	3	10	0.0
TFIDF	3	100	0.0
TFIDF	3	1000	0.0
TFIDF	3	10000	0.0
TFIDF	1	1	0.0
TFIDF	1	10	0.0
TFIDF	1	100	0.0
TFIDF	1	1000	0.0
TFIDF	1	10000	0.0
TFIDF	2	1	0.0
TFIDF	2	10	0.0
TFIDF	2	100	0.0
TFIDF	2	1000	0.0
TFIDF	2	10000	0.0
TFIDF	4	1	0.0
TFIDF	4	10	0.0
TFIDF	4	100	0.0
TFIDF	4	1000	0.0
TFIDF	4	10000	0.0
TFIDF	5	1	0.0
TFIDF	5	10	0.0
TFIDF	5	100	0.07692307692307693
TFIDF	5	1000	0.25
TFIDF	5	10000	0.46153846153846156
TextRank	3	1	0.0
TextRank	3	10	0.0
TextRank	3	100	0.0
TextRank	3	1000	0.0
TextRank	3	10000	0.5
TextRank	1	1	0.0
TextRank	1	10	0.0
TextRank	1	100	0.05263157894736842
TextRank	1	1000	0.10526315789473684
TextRank	1	10000	0.3157894736842105
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.3
TextRank	2	1000	0.6
TextRank	2	10000	0.7
TextRank	4	1	0.0
TextRank	4	10	0.0
TextRank	4	100	0.0
TextRank	4	1000	0.0
TextRank	4	10000	0.0
TextRank	5	1	0.0
TextRank	5	10	0.0
TextRank	5	100	0.0
TextRank	5	1000	0.057692307692307696
TextRank	5	10000	0.3076923076923077
TopicalRank	3	1	0.0
TopicalRank	3	10	0.0
TopicalRank	3	100	0.0
TopicalRank	3	1000	0.0
TopicalRank	3	10000	0.125
TopicalRank	1	1	0.0
TopicalRank	1	10	0.0
TopicalRank	1	100	0.05263157894736842
TopicalRank	1	1000	0.15789473684210525
TopicalRank	1	10000	0.3157894736842105
TopicalRank	2	1	0.0
TopicalRank	2	10	0.0
TopicalRank	2	100	0.1
TopicalRank	2	1000	0.3
TopicalRank	2	10000	0.9
TopicalRank	4	1	0.0
TopicalRank	4	10	0.0
TopicalRank	4	100	0.0
TopicalRank	4	1000	0.0
TopicalRank	4	10000	0.0
TopicalRank	5	1	0.0
TopicalRank	5	10	0.0
TopicalRank	5	100	0.0
TopicalRank	5	1000	0.057692307692307696
TopicalRank	5	10000	0.2692307692307692
YAKE	3	1	0.0
YAKE	3	10	0.0
YAKE	3	100	0.125
YAKE	3	1000	0.125
YAKE	3	10000	0.25
YAKE	1	1	0.0
YAKE	1	10	0.0
YAKE	1	100	0.05263157894736842
YAKE	1	1000	0.10526315789473684
YAKE	1	10000	0.3684210526315789
YAKE	2	1	0.0
YAKE	2	10	0.0
YAKE	2	100	0.0
YAKE	2	1000	0.0
YAKE	2	10000	0.3
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.0
YAKE	4	1000	0.0
YAKE	4	10000	0.0
YAKE	5	1	0.0
YAKE	5	10	0.019230769230769232
YAKE	5	100	0.038461538461538464
YAKE	5	1000	0.11538461538461539
YAKE	5	10000	0.40384615384615385
KPMINER	3	1	0.0
KPMINER	3	10	0.0
KPMINER	3	100	0.0
KPMINER	3	1000	0.0
