MODEL	QUERY	N	SCORE
MultipartitieRank	3	1	0.0
MultipartitieRank	3	10	0.25
MultipartitieRank	3	100	0.25
MultipartitieRank	3	1000	0.5
MultipartitieRank	3	10000	1.0
MultipartitieRank	1	1	0.0
MultipartitieRank	1	10	0.05263157894736842
MultipartitieRank	1	100	0.05263157894736842
MultipartitieRank	1	1000	0.10526315789473684
MultipartitieRank	1	10000	0.47368421052631576
MultipartitieRank	2	1	0.0
MultipartitieRank	2	10	0.2
MultipartitieRank	2	100	0.2
MultipartitieRank	2	1000	0.4
MultipartitieRank	2	10000	0.6
MultipartitieRank	4	1	0.0
MultipartitieRank	4	10	0.0
MultipartitieRank	4	100	0.0
MultipartitieRank	4	1000	0.0
MultipartitieRank	4	10000	0.0
MultipartitieRank	5	1	0.0
MultipartitieRank	5	10	0.038461538461538464
MultipartitieRank	5	100	0.09615384615384616
MultipartitieRank	5	1000	0.36538461538461536
MultipartitieRank	5	10000	0.6538461538461539
PositionRank	3	1	0.0
PositionRank	3	10	0.0
PositionRank	3	100	0.25
PositionRank	3	1000	0.25
PositionRank	3	10000	0.875
PositionRank	1	1	0.0
PositionRank	1	10	0.0
PositionRank	1	100	0.10526315789473684
PositionRank	1	1000	0.21052631578947367
PositionRank	1	10000	0.631578947368421
PositionRank	2	1	0.0
PositionRank	2	10	0.4
PositionRank	2	100	0.6
PositionRank	2	1000	0.7
PositionRank	2	10000	0.8
PositionRank	4	1	0.0
PositionRank	4	10	0.0
PositionRank	4	100	0.0
PositionRank	4	1000	0.0
PositionRank	4	10000	0.0
PositionRank	5	1	0.0
PositionRank	5	10	0.0
PositionRank	5	100	0.07692307692307693
PositionRank	5	1000	0.3076923076923077
PositionRank	5	10000	0.7692307692307693
SingleRank	3	1	0.0
SingleRank	3	10	0.125
SingleRank	3	100	0.125
SingleRank	3	1000	0.125
SingleRank	3	10000	1.0
SingleRank	1	1	0.0
SingleRank	1	10	0.05263157894736842
SingleRank	1	100	0.15789473684210525
SingleRank	1	1000	0.3157894736842105
SingleRank	1	10000	0.631578947368421
SingleRank	2	1	0.0
SingleRank	2	10	0.1
SingleRank	2	100	0.3
SingleRank	2	1000	0.8
SingleRank	2	10000	0.8
SingleRank	4	1	0.0
SingleRank	4	10	0.0
SingleRank	4	100	0.0
SingleRank	4	1000	0.0
SingleRank	4	10000	0.0
SingleRank	5	1	0.0
SingleRank	5	10	0.019230769230769232
SingleRank	5	100	0.1346153846153846
SingleRank	5	1000	0.38461538461538464
SingleRank	5	10000	0.8076923076923077
TFIDF	3	1	0.0
TFIDF	3	10	0.0
TFIDF	3	100	0.0
TFIDF	3	1000	0.0
TFIDF	3	10000	0.0
TFIDF	1	1	0.0
TFIDF	1	10	0.0
TFIDF	1	100	0.0
TFIDF	1	1000	0.0
TFIDF	1	10000	0.0
TFIDF	2	1	0.0
TFIDF	2	10	0.0
TFIDF	2	100	0.0
TFIDF	2	1000	0.0
TFIDF	2	10000	0.0
TFIDF	4	1	0.0
TFIDF	4	10	0.0
TFIDF	4	100	0.0
TFIDF	4	1000	0.0
TFIDF	4	10000	0.0
TFIDF	5	1	0.019230769230769232
TFIDF	5	10	0.038461538461538464
TFIDF	5	100	0.1346153846153846
TFIDF	5	1000	0.5576923076923077
TFIDF	5	10000	0.8076923076923077
TextRank	3	1	0.0
TextRank	3	10	0.125
TextRank	3	100	0.125
TextRank	3	1000	0.25
TextRank	3	10000	0.625
TextRank	1	1	0.0
TextRank	1	10	0.05263157894736842
TextRank	1	100	0.15789473684210525
TextRank	1	1000	0.3157894736842105
TextRank	1	10000	0.6842105263157895
TextRank	2	1	0.0
TextRank	2	10	0.2
TextRank	2	100	0.4
TextRank	2	1000	0.7
TextRank	2	10000	0.9
TextRank	4	1	0.0
TextRank	4	10	0.0
TextRank	4	100	0.0
TextRank	4	1000	0.0
TextRank	4	10000	0.0
TextRank	5	1	0.0
TextRank	5	10	0.038461538461538464
TextRank	5	100	0.07692307692307693
TextRank	5	1000	0.46153846153846156
TextRank	5	10000	0.8461538461538461
TopicalRank	3	1	0.0
TopicalRank	3	10	0.0
TopicalRank	3	100	0.0
TopicalRank	3	1000	0.0
TopicalRank	3	10000	0.0
TopicalRank	1	1	0.0
TopicalRank	1	10	0.0
TopicalRank	1	100	0.15789473684210525
TopicalRank	1	1000	0.3157894736842105
TopicalRank	1	10000	0.631578947368421
TopicalRank	2	1	0.0
TopicalRank	2	10	0.2
TopicalRank	2	100	0.3
TopicalRank	2	1000	0.5
TopicalRank	2	10000	0.8
TopicalRank	4	1	0.0
TopicalRank	4	10	0.0
TopicalRank	4	100	0.0
TopicalRank	4	1000	0.0
TopicalRank	4	10000	0.0
TopicalRank	5	1	0.019230769230769232
TopicalRank	5	10	0.019230769230769232
TopicalRank	5	100	0.09615384615384616
TopicalRank	5	1000	0.36538461538461536
TopicalRank	5	10000	0.8269230769230769
YAKE	3	1	0.0
YAKE	3	10	0.125
YAKE	3	100	0.125
YAKE	3	1000	0.125
YAKE	3	10000	1.0
YAKE	1	1	0.0
YAKE	1	10	0.05263157894736842
YAKE	1	100	0.05263157894736842
YAKE	1	1000	0.05263157894736842
YAKE	1	10000	0.631578947368421
YAKE	2	1	0.0
YAKE	2	10	0.0
YAKE	2	100	0.0
YAKE	2	1000	0.2
YAKE	2	10000	0.5
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.0
YAKE	4	1000	0.0
YAKE	4	10000	0.0
YAKE	5	1	0.0
YAKE	5	10	0.038461538461538464
YAKE	5	100	0.19230769230769232
YAKE	5	1000	0.3269230769230769
YAKE	5	10000	0.8846153846153846
KPMINER	3	1	0.0
KPMINER	3	10	0.0
KPMINER	3	100	0.0
KPMINER	3	1000	0.0
KPMINER	3	10000	0.0
KPMINER	1	1	0.0
KPMINER	1	10	0.0
KPMINER	1	100	0.0
KPMINER	1	1000	0.0
KPMINER	1	10000	0.0
KPMINER	2	1	0.0
KPMINER	2	10	0.0
KPMINER	2	100	0.0
KPMINER	2	1000	0.0
KPMINER	2	10000	0.0
KPMINER	4	1	0.0
KPMINER	4	10	0.0
KPMINER	4	100	0.0
KPMINER	4	1000	0.0
KPMINER	4	10000	0.0
KPMINER	5	1	0.0
KPMINER	5	10	0.057692307692307696
KPMINER	5	100	0.15384615384615385
KPMINER	5	1000	0.4230769230769231
KPMINER	5	10000	0.7115384615384616
TopicRankResults	3	1	0.0
TopicRankResults	3	10	0.25
TopicRankResults	3	100	0.25
TopicRankResults	3	1000	0.75
TopicRankResults	3	10000	1.0
TopicRankResults	1	1	0.0
TopicRankResults	1	10	0.05263157894736842
TopicRankResults	1	100	0.05263157894736842
TopicRankResults	1	1000	0.2631578947368421
TopicRankResults	1	10000	0.47368421052631576
TopicRankResults	2	1	0.0
TopicRankResults	2	10	0.2
TopicRankResults	2	100	0.5
TopicRankResults	2	1000	0.5
TopicRankResults	2	10000	0.5
TopicRankResults	4	1	0.0
TopicRankResults	4	10	0.0
TopicRankResults	4	100	0.0
TopicRankResults	4	1000	0.0
TopicRankResults	4	10000	0.0
TopicRankResults	5	1	0.0
TopicRankResults	5	10	0.07692307692307693
TopicRankResults	5	100	0.11538461538461539
TopicRankResults	5	1000	0.25
TopicRankResults	5	10000	0.6923076923076923
