BioWordVec Results for 10 keywords
MODEL	QUERY	#	SCORE
MultipartiteRank	1	1	0.0
MultipartiteRank	1	10	0.3333333333333333
MultipartiteRank	1	100	0.5
MultipartiteRank	2	1	0.0
MultipartiteRank	2	10	0.2222222222222222
MultipartiteRank	2	100	0.2222222222222222
MultipartiteRank	3	1	0.0
MultipartiteRank	3	10	0.0
MultipartiteRank	3	100	0.0
MultipartiteRank	4	1	0.0
MultipartiteRank	4	10	0.0625
MultipartiteRank	4	100	0.25
MultipartiteRank	5	1	0.0
MultipartiteRank	5	10	0.041666666666666664
MultipartiteRank	5	100	0.19791666666666666
MultipartiteRank	6	1	0.0
MultipartiteRank	6	10	0.0
MultipartiteRank	6	100	0.0
PositionRank	1	1	0.0
PositionRank	1	10	0.5
PositionRank	1	100	0.5
PositionRank	2	1	0.0
PositionRank	2	10	0.2222222222222222
PositionRank	2	100	0.2222222222222222
PositionRank	3	1	0.0
PositionRank	3	10	0.04
PositionRank	3	100	0.16
PositionRank	4	1	0.0
PositionRank	4	10	0.125
PositionRank	4	100	0.4375
PositionRank	5	1	0.0
PositionRank	5	10	0.041666666666666664
PositionRank	5	100	0.21875
PositionRank	6	1	0.0
PositionRank	6	10	0.017857142857142856
PositionRank	6	100	0.07142857142857142
SingleRank	1	1	0.0
SingleRank	1	10	0.6666666666666666
SingleRank	1	100	0.6666666666666666
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.1111111111111111
SingleRank	3	1	0.0
SingleRank	3	10	0.0
SingleRank	3	100	0.24
SingleRank	4	1	0.0
SingleRank	4	10	0.125
SingleRank	4	100	0.4375
SingleRank	5	1	0.0
SingleRank	5	10	0.0
SingleRank	5	100	0.08333333333333333
SingleRank	6	1	0.0
SingleRank	6	10	0.017857142857142856
SingleRank	6	100	0.09821428571428571
TfIdf	1	1	0.0
TfIdf	1	10	0.3333333333333333
TfIdf	1	100	0.5
TfIdf	2	1	0.0
TfIdf	2	10	0.1111111111111111
TfIdf	2	100	0.2222222222222222
TfIdf	3	1	0.0
TfIdf	3	10	0.0
TfIdf	3	100	0.16
TfIdf	4	1	0.0
TfIdf	4	10	0.0625
TfIdf	4	100	0.375
TfIdf	5	1	0.0
TfIdf	5	10	0.010416666666666666
TfIdf	5	100	0.125
TfIdf	6	1	0.0
TfIdf	6	10	0.0
TfIdf	6	100	0.0
TextRank	1	1	0.0
TextRank	1	10	0.16666666666666666
TextRank	1	100	0.3333333333333333
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.0
TextRank	3	1	0.0
TextRank	3	10	0.04
TextRank	3	100	0.24
TextRank	4	1	0.0
TextRank	4	10	0.0625
TextRank	4	100	0.4375
TextRank	5	1	0.0
TextRank	5	10	0.020833333333333332
TextRank	5	100	0.14583333333333334
TextRank	6	1	0.0
TextRank	6	10	0.03571428571428571
TextRank	6	100	0.08928571428571429
TopicalPageRank	1	1	0.0
TopicalPageRank	1	10	0.5
TopicalPageRank	1	100	0.5
TopicalPageRank	2	1	0.0
TopicalPageRank	2	10	0.1111111111111111
TopicalPageRank	2	100	0.2222222222222222
TopicalPageRank	3	1	0.0
TopicalPageRank	3	10	0.0
TopicalPageRank	3	100	0.16
TopicalPageRank	4	1	0.0
TopicalPageRank	4	10	0.125
TopicalPageRank	4	100	0.5
TopicalPageRank	5	1	0.0
TopicalPageRank	5	10	0.010416666666666666
TopicalPageRank	5	100	0.07291666666666667
TopicalPageRank	6	1	0.0
TopicalPageRank	6	10	0.017857142857142856
TopicalPageRank	6	100	0.09821428571428571
YAKE	1	1	0.0
YAKE	1	10	0.0
YAKE	1	100	0.5
YAKE	2	1	0.0
YAKE	2	10	0.1111111111111111
YAKE	2	100	0.1111111111111111
YAKE	3	1	0.0
YAKE	3	10	0.0
YAKE	3	100	0.04
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.0625
YAKE	5	1	0.0
YAKE	5	10	0.010416666666666666
YAKE	5	100	0.07291666666666667
YAKE	6	1	0.0
YAKE	6	10	0.026785714285714284
YAKE	6	100	0.11607142857142858
KPMiner	1	1	0.0
KPMiner	1	10	0.5
KPMiner	1	100	0.5
KPMiner	2	1	0.0
KPMiner	2	10	0.1111111111111111
KPMiner	2	100	0.4444444444444444
KPMiner	3	1	0.0
KPMiner	3	10	0.0
KPMiner	3	100	0.16
KPMiner	4	1	0.0
KPMiner	4	10	0.1875
KPMiner	4	100	0.375
KPMiner	5	1	0.0
KPMiner	5	10	0.0
KPMiner	5	100	0.0
KPMiner	6	1	0.0
KPMiner	6	10	0.0
KPMiner	6	100	0.0
TopicRank	1	1	0.0
TopicRank	1	10	0.3333333333333333
TopicRank	1	100	0.3333333333333333
TopicRank	2	1	0.0
TopicRank	2	10	0.2222222222222222
TopicRank	2	100	0.3333333333333333
TopicRank	3	1	0.0
TopicRank	3	10	0.08
TopicRank	3	100	0.2
TopicRank	4	1	0.0
TopicRank	4	10	0.0
TopicRank	4	100	0.125
TopicRank	5	1	0.0
TopicRank	5	10	0.0
TopicRank	5	100	0.0
TopicRank	6	1	0.0
TopicRank	6	10	0.0
TopicRank	6	100	0.0
