SpaCy Results for 10 keywords
MODEL	QUERY	#	SCORE
MultipartiteRank	1	1	0.0
MultipartiteRank	1	10	0.6666666666666666
MultipartiteRank	1	100	0.8333333333333334
MultipartiteRank	2	1	0.0
MultipartiteRank	2	10	0.3333333333333333
MultipartiteRank	2	100	0.4444444444444444
MultipartiteRank	3	1	0.0
MultipartiteRank	3	10	0.2
MultipartiteRank	3	100	0.36
MultipartiteRank	4	1	0.0
MultipartiteRank	4	10	0.125
MultipartiteRank	4	100	0.3125
MultipartiteRank	5	1	0.0
MultipartiteRank	5	10	0.09375
MultipartiteRank	5	100	0.5
MultipartiteRank	6	1	0.0
MultipartiteRank	6	10	0.044642857142857144
MultipartiteRank	6	100	0.22321428571428573
PositionRank	1	1	0.0
PositionRank	1	10	0.3333333333333333
PositionRank	1	100	0.6666666666666666
PositionRank	2	1	0.0
PositionRank	2	10	0.1111111111111111
PositionRank	2	100	0.3333333333333333
PositionRank	3	1	0.0
PositionRank	3	10	0.12
PositionRank	3	100	0.36
PositionRank	4	1	0.0
PositionRank	4	10	0.125
PositionRank	4	100	0.375
PositionRank	5	1	0.0
PositionRank	5	10	0.09375
PositionRank	5	100	0.3541666666666667
PositionRank	6	1	0.0
PositionRank	6	10	0.044642857142857144
PositionRank	6	100	0.3392857142857143
SingleRank	1	1	0.16666666666666666
SingleRank	1	10	0.6666666666666666
SingleRank	1	100	0.8333333333333334
SingleRank	2	1	0.1111111111111111
SingleRank	2	10	0.1111111111111111
SingleRank	2	100	0.1111111111111111
SingleRank	3	1	0.04
SingleRank	3	10	0.08
SingleRank	3	100	0.56
SingleRank	4	1	0.0625
SingleRank	4	10	0.125
SingleRank	4	100	0.5625
SingleRank	5	1	0.010416666666666666
SingleRank	5	10	0.041666666666666664
SingleRank	5	100	0.2604166666666667
SingleRank	6	1	0.008928571428571428
SingleRank	6	10	0.05357142857142857
SingleRank	6	100	0.25
TfIdf	1	1	0.16666666666666666
TfIdf	1	10	0.3333333333333333
TfIdf	1	100	0.6666666666666666
TfIdf	2	1	0.1111111111111111
TfIdf	2	10	0.1111111111111111
TfIdf	2	100	0.3333333333333333
TfIdf	3	1	0.04
TfIdf	3	10	0.16
TfIdf	3	100	0.48
TfIdf	4	1	0.0625
TfIdf	4	10	0.1875
TfIdf	4	100	0.5
TfIdf	5	1	0.010416666666666666
TfIdf	5	10	0.0625
TfIdf	5	100	0.375
TfIdf	6	1	0.008928571428571428
TfIdf	6	10	0.08928571428571429
TfIdf	6	100	0.45535714285714285
TextRank	1	1	0.16666666666666666
TextRank	1	10	0.3333333333333333
TextRank	1	100	0.5
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.0
TextRank	3	1	0.04
TextRank	3	10	0.24
TextRank	3	100	0.52
TextRank	4	1	0.0625
TextRank	4	10	0.0625
TextRank	4	100	0.5625
TextRank	5	1	0.0
TextRank	5	10	0.03125
TextRank	5	100	0.25
TextRank	6	1	0.008928571428571428
TextRank	6	10	0.05357142857142857
TextRank	6	100	0.22321428571428573
TopicalPageRank	1	1	0.16666666666666666
TopicalPageRank	1	10	0.3333333333333333
TopicalPageRank	1	100	0.5
TopicalPageRank	2	1	0.1111111111111111
TopicalPageRank	2	10	0.1111111111111111
TopicalPageRank	2	100	0.4444444444444444
TopicalPageRank	3	1	0.04
TopicalPageRank	3	10	0.08
TopicalPageRank	3	100	0.48
TopicalPageRank	4	1	0.0625
TopicalPageRank	4	10	0.125
TopicalPageRank	4	100	0.5625
TopicalPageRank	5	1	0.010416666666666666
TopicalPageRank	5	10	0.041666666666666664
TopicalPageRank	5	100	0.23958333333333334
TopicalPageRank	6	1	0.008928571428571428
TopicalPageRank	6	10	0.0625
TopicalPageRank	6	100	0.25892857142857145
YAKE	1	1	0.0
YAKE	1	10	0.3333333333333333
YAKE	1	100	0.5
YAKE	2	1	0.0
YAKE	2	10	0.1111111111111111
YAKE	2	100	0.1111111111111111
YAKE	3	1	0.04
YAKE	3	10	0.08
YAKE	3	100	0.28
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.1875
YAKE	5	1	0.010416666666666666
YAKE	5	10	0.041666666666666664
YAKE	5	100	0.14583333333333334
YAKE	6	1	0.008928571428571428
YAKE	6	10	0.044642857142857144
YAKE	6	100	0.17857142857142858
KPMiner	1	1	0.0
KPMiner	1	10	0.3333333333333333
KPMiner	1	100	0.6666666666666666
KPMiner	2	1	0.0
KPMiner	2	10	0.1111111111111111
KPMiner	2	100	0.3333333333333333
KPMiner	3	1	0.0
KPMiner	3	10	0.16
KPMiner	3	100	0.52
KPMiner	4	1	0.0
KPMiner	4	10	0.125
KPMiner	4	100	0.5625
KPMiner	5	1	0.0
KPMiner	5	10	0.0
KPMiner	5	100	0.0
KPMiner	6	1	0.0
KPMiner	6	10	0.0
KPMiner	6	100	0.0
TopicRank	1	1	0.0
TopicRank	1	10	0.6666666666666666
TopicRank	1	100	0.6666666666666666
TopicRank	2	1	0.0
TopicRank	2	10	0.3333333333333333
TopicRank	2	100	0.4444444444444444
TopicRank	3	1	0.0
TopicRank	3	10	0.24
TopicRank	3	100	0.44
TopicRank	4	1	0.0
TopicRank	4	10	0.125
TopicRank	4	100	0.1875
TopicRank	5	1	0.0
TopicRank	5	10	0.09375
TopicRank	5	100	0.5
TopicRank	6	1	0.0
TopicRank	6	10	0.044642857142857144
TopicRank	6	100	0.25
