SciSpaCy Results for 20 keywords
MODEL	QUERY	#	SCORE
MultipartiteRank	1	1	0.0
MultipartiteRank	1	10	0.6666666666666666
MultipartiteRank	1	100	0.8333333333333334
MultipartiteRank	2	1	0.0
MultipartiteRank	2	10	0.2222222222222222
MultipartiteRank	2	100	0.3333333333333333
MultipartiteRank	3	1	0.0
MultipartiteRank	3	10	0.32
MultipartiteRank	3	100	0.72
MultipartiteRank	4	1	0.0
MultipartiteRank	4	10	0.0
MultipartiteRank	4	100	0.1875
MultipartiteRank	5	1	0.0
MultipartiteRank	5	10	0.09375
MultipartiteRank	5	100	0.6770833333333334
MultipartiteRank	6	1	0.0
MultipartiteRank	6	10	0.0625
MultipartiteRank	6	100	0.35714285714285715
PositionRank	1	1	0.0
PositionRank	1	10	0.8333333333333334
PositionRank	1	100	1.0
PositionRank	2	1	0.0
PositionRank	2	10	0.2222222222222222
PositionRank	2	100	0.2222222222222222
PositionRank	3	1	0.0
PositionRank	3	10	0.32
PositionRank	3	100	0.68
PositionRank	4	1	0.0
PositionRank	4	10	0.1875
PositionRank	4	100	0.5
PositionRank	5	1	0.0
PositionRank	5	10	0.09375
PositionRank	5	100	0.6145833333333334
PositionRank	6	1	0.0
PositionRank	6	10	0.08035714285714286
PositionRank	6	100	0.41964285714285715
SingleRank	1	1	0.16666666666666666
SingleRank	1	10	0.6666666666666666
SingleRank	1	100	1.0
SingleRank	2	1	0.1111111111111111
SingleRank	2	10	0.1111111111111111
SingleRank	2	100	0.2222222222222222
SingleRank	3	1	0.04
SingleRank	3	10	0.32
SingleRank	3	100	0.72
SingleRank	4	1	0.0625
SingleRank	4	10	0.25
SingleRank	4	100	0.625
SingleRank	5	1	0.010416666666666666
SingleRank	5	10	0.10416666666666667
SingleRank	5	100	0.4791666666666667
SingleRank	6	1	0.008928571428571428
SingleRank	6	10	0.05357142857142857
SingleRank	6	100	0.32142857142857145
TfIdf	1	1	0.16666666666666666
TfIdf	1	10	0.5
TfIdf	1	100	0.8333333333333334
TfIdf	2	1	0.1111111111111111
TfIdf	2	10	0.1111111111111111
TfIdf	2	100	0.1111111111111111
TfIdf	3	1	0.04
TfIdf	3	10	0.4
TfIdf	3	100	0.84
TfIdf	4	1	0.0625
TfIdf	4	10	0.1875
TfIdf	4	100	0.75
TfIdf	5	1	0.010416666666666666
TfIdf	5	10	0.10416666666666667
TfIdf	5	100	0.4895833333333333
TfIdf	6	1	0.008928571428571428
TfIdf	6	10	0.08928571428571429
TfIdf	6	100	0.5267857142857143
TextRank	1	1	0.16666666666666666
TextRank	1	10	0.5
TextRank	1	100	0.8333333333333334
TextRank	2	1	0.1111111111111111
TextRank	2	10	0.1111111111111111
TextRank	2	100	0.1111111111111111
TextRank	3	1	0.04
TextRank	3	10	0.36
TextRank	3	100	0.84
TextRank	4	1	0.0625
TextRank	4	10	0.25
TextRank	4	100	0.6875
TextRank	5	1	0.0
TextRank	5	10	0.08333333333333333
TextRank	5	100	0.46875
TextRank	6	1	0.008928571428571428
TextRank	6	10	0.044642857142857144
TextRank	6	100	0.3392857142857143
TopicalPageRank	1	1	0.16666666666666666
TopicalPageRank	1	10	0.6666666666666666
TopicalPageRank	1	100	1.0
TopicalPageRank	2	1	0.1111111111111111
TopicalPageRank	2	10	0.2222222222222222
TopicalPageRank	2	100	0.2222222222222222
TopicalPageRank	3	1	0.04
TopicalPageRank	3	10	0.32
TopicalPageRank	3	100	0.56
TopicalPageRank	4	1	0.0625
TopicalPageRank	4	10	0.375
TopicalPageRank	4	100	0.6875
TopicalPageRank	5	1	0.010416666666666666
TopicalPageRank	5	10	0.10416666666666667
TopicalPageRank	5	100	0.5
TopicalPageRank	6	1	0.008928571428571428
TopicalPageRank	6	10	0.044642857142857144
TopicalPageRank	6	100	0.3482142857142857
YAKE	1	1	0.16666666666666666
YAKE	1	10	0.5
YAKE	1	100	0.5
YAKE	2	1	0.0
YAKE	2	10	0.0
YAKE	2	100	0.0
YAKE	3	1	0.04
YAKE	3	10	0.2
YAKE	3	100	0.44
YAKE	4	1	0.0
YAKE	4	10	0.0625
YAKE	4	100	0.1875
YAKE	5	1	0.0
YAKE	5	10	0.020833333333333332
YAKE	5	100	0.125
YAKE	6	1	0.008928571428571428
YAKE	6	10	0.044642857142857144
YAKE	6	100	0.19642857142857142
KPMiner	1	1	0.0
KPMiner	1	10	0.5
KPMiner	1	100	0.8333333333333334
KPMiner	2	1	0.0
KPMiner	2	10	0.2222222222222222
KPMiner	2	100	0.3333333333333333
KPMiner	3	1	0.0
KPMiner	3	10	0.28
KPMiner	3	100	0.6
KPMiner	4	1	0.0
KPMiner	4	10	0.1875
KPMiner	4	100	0.6875
KPMiner	5	1	0.0
KPMiner	5	10	0.0
KPMiner	5	100	0.0
KPMiner	6	1	0.0
KPMiner	6	10	0.0
KPMiner	6	100	0.0
TopicRank	1	1	0.0
TopicRank	1	10	0.8333333333333334
TopicRank	1	100	0.8333333333333334
TopicRank	2	1	0.0
TopicRank	2	10	0.2222222222222222
TopicRank	2	100	0.4444444444444444
TopicRank	3	1	0.0
TopicRank	3	10	0.28
TopicRank	3	100	0.6
TopicRank	4	1	0.0
TopicRank	4	10	0.0
TopicRank	4	100	0.1875
TopicRank	5	1	0.0
TopicRank	5	10	0.09375
TopicRank	5	100	0.6145833333333334
TopicRank	6	1	0.0
TopicRank	6	10	0.03571428571428571
TopicRank	6	100	0.32142857142857145
