FTWiki Results for 10 keywords
MODEL	QUERY	#	SCORE
MultipartiteRank	1	1	0.0
MultipartiteRank	1	10	0.6666666666666666
MultipartiteRank	1	100	0.6666666666666666
MultipartiteRank	2	1	0.0
MultipartiteRank	2	10	0.2222222222222222
MultipartiteRank	2	100	0.3333333333333333
MultipartiteRank	3	1	0.0
MultipartiteRank	3	10	0.08
MultipartiteRank	3	100	0.36
MultipartiteRank	4	1	0.0
MultipartiteRank	4	10	0.0
MultipartiteRank	4	100	0.25
MultipartiteRank	5	1	0.0
MultipartiteRank	5	10	0.09375
MultipartiteRank	5	100	0.3958333333333333
MultipartiteRank	6	1	0.0
MultipartiteRank	6	10	0.008928571428571428
MultipartiteRank	6	100	0.125
PositionRank	1	1	0.0
PositionRank	1	10	0.3333333333333333
PositionRank	1	100	0.8333333333333334
PositionRank	2	1	0.0
PositionRank	2	10	0.1111111111111111
PositionRank	2	100	0.1111111111111111
PositionRank	3	1	0.0
PositionRank	3	10	0.12
PositionRank	3	100	0.4
PositionRank	4	1	0.0
PositionRank	4	10	0.1875
PositionRank	4	100	0.375
PositionRank	5	1	0.0
PositionRank	5	10	0.09375
PositionRank	5	100	0.3125
PositionRank	6	1	0.0
PositionRank	6	10	0.026785714285714284
PositionRank	6	100	0.25
SingleRank	1	1	0.16666666666666666
SingleRank	1	10	0.6666666666666666
SingleRank	1	100	0.8333333333333334
SingleRank	2	1	0.0
SingleRank	2	10	0.0
SingleRank	2	100	0.0
SingleRank	3	1	0.04
SingleRank	3	10	0.16
SingleRank	3	100	0.32
SingleRank	4	1	0.0
SingleRank	4	10	0.125
SingleRank	4	100	0.5625
SingleRank	5	1	0.0
SingleRank	5	10	0.010416666666666666
SingleRank	5	100	0.16666666666666666
SingleRank	6	1	0.0
SingleRank	6	10	0.017857142857142856
SingleRank	6	100	0.125
TfIdf	1	1	0.16666666666666666
TfIdf	1	10	0.3333333333333333
TfIdf	1	100	0.6666666666666666
TfIdf	2	1	0.1111111111111111
TfIdf	2	10	0.1111111111111111
TfIdf	2	100	0.2222222222222222
TfIdf	3	1	0.0
TfIdf	3	10	0.04
TfIdf	3	100	0.36
TfIdf	4	1	0.0625
TfIdf	4	10	0.25
TfIdf	4	100	0.625
TfIdf	5	1	0.010416666666666666
TfIdf	5	10	0.08333333333333333
TfIdf	5	100	0.2916666666666667
TfIdf	6	1	0.0
TfIdf	6	10	0.044642857142857144
TfIdf	6	100	0.21428571428571427
TextRank	1	1	0.16666666666666666
TextRank	1	10	0.16666666666666666
TextRank	1	100	0.3333333333333333
TextRank	2	1	0.0
TextRank	2	10	0.0
TextRank	2	100	0.0
TextRank	3	1	0.04
TextRank	3	10	0.16
TextRank	3	100	0.4
TextRank	4	1	0.0
TextRank	4	10	0.0625
TextRank	4	100	0.4375
TextRank	5	1	0.0
TextRank	5	10	0.020833333333333332
TextRank	5	100	0.13541666666666666
TextRank	6	1	0.0
TextRank	6	10	0.03571428571428571
TextRank	6	100	0.16964285714285715
TopicalPageRank	1	1	0.16666666666666666
TopicalPageRank	1	10	0.3333333333333333
TopicalPageRank	1	100	0.6666666666666666
TopicalPageRank	2	1	0.1111111111111111
TopicalPageRank	2	10	0.1111111111111111
TopicalPageRank	2	100	0.3333333333333333
TopicalPageRank	3	1	0.04
TopicalPageRank	3	10	0.12
TopicalPageRank	3	100	0.32
TopicalPageRank	4	1	0.0625
TopicalPageRank	4	10	0.1875
TopicalPageRank	4	100	0.375
TopicalPageRank	5	1	0.0
TopicalPageRank	5	10	0.010416666666666666
TopicalPageRank	5	100	0.15625
TopicalPageRank	6	1	0.0
TopicalPageRank	6	10	0.017857142857142856
TopicalPageRank	6	100	0.21428571428571427
YAKE	1	1	0.0
YAKE	1	10	0.0
YAKE	1	100	0.5
YAKE	2	1	0.1111111111111111
YAKE	2	10	0.1111111111111111
YAKE	2	100	0.1111111111111111
YAKE	3	1	0.04
YAKE	3	10	0.08
YAKE	3	100	0.36
YAKE	4	1	0.0
YAKE	4	10	0.0
YAKE	4	100	0.3125
YAKE	5	1	0.010416666666666666
YAKE	5	10	0.020833333333333332
YAKE	5	100	0.10416666666666667
YAKE	6	1	0.0
YAKE	6	10	0.008928571428571428
YAKE	6	100	0.13392857142857142
KPMiner	1	1	0.0
KPMiner	1	10	0.5
KPMiner	1	100	0.6666666666666666
KPMiner	2	1	0.0
KPMiner	2	10	0.1111111111111111
KPMiner	2	100	0.2222222222222222
KPMiner	3	1	0.0
KPMiner	3	10	0.04
KPMiner	3	100	0.48
KPMiner	4	1	0.0
KPMiner	4	10	0.3125
KPMiner	4	100	0.5625
KPMiner	5	1	0.0
KPMiner	5	10	0.0
KPMiner	5	100	0.0
KPMiner	6	1	0.0
KPMiner	6	10	0.0
KPMiner	6	100	0.0
TopicRank	1	1	0.0
TopicRank	1	10	0.6666666666666666
TopicRank	1	100	0.6666666666666666
TopicRank	2	1	0.0
TopicRank	2	10	0.2222222222222222
TopicRank	2	100	0.3333333333333333
TopicRank	3	1	0.0
TopicRank	3	10	0.16
TopicRank	3	100	0.32
TopicRank	4	1	0.0
TopicRank	4	10	0.0
TopicRank	4	100	0.1875
TopicRank	5	1	0.0
TopicRank	5	10	0.08333333333333333
TopicRank	5	100	0.3333333333333333
TopicRank	6	1	0.0
TopicRank	6	10	0.017857142857142856
TopicRank	6	100	0.125
